0x000000, 0xFEFEFE, 0xDCDCDC, 0xA9A9A9, 0x000000, 0x210000, 0x760000, 0xFE0000, 0x000000, 0x001221, 0x003F76, 0x0087FE, 0x000000, 0x212100, 0x767600, 0xFEFE00
0x000000, 0x000000, 0xFEFEFE, 0x323232, 0x5E5E65, 0x6E6E76, 0x878787, 0x989898, 0xBABABA, 0x000000, 0xFEFEFE, 0x983C98, 0xCB79CB, 0x653C3C, 0x652821, 0x871B1B
0x000000, 0x000000, 0xFE0000, 0x545454, 0x7E7E87, 0x9E9EA9, 0xCBCBCB, 0xDCDCDC, 0xFEFEFE, 0x000000, 0xFE0000, 0xFE65FE, 0xFE98FE, 0x985B5B, 0x652821, 0xCB2828
0x000000, 0x000000, 0x434A65, 0x636387, 0x7C7CBA, 0xB0A1DC, 0xDCDCFE, 0xFEFEFE, 0x542727, 0x653C3C, 0x875A5A, 0x986F6F, 0xA98787, 0xCBB0B0, 0x3E3E54, 0xFE0000
0x000000, 0x000000, 0x211B0B, 0x542D16, 0x543221, 0x653628, 0xA98700, 0x654A06, 0x653C43, 0x651400, 0x870000, 0x652121, 0x10010A, 0x430000, 0x650606, 0xA9A9A9
0x000000, 0x000000, 0x322810, 0x763F1F, 0x76472F, 0x874836, 0xCBA200, 0x986F0A, 0x985B65, 0x981E00, 0xCB0000, 0x983232, 0x210214, 0x650000, 0x870909, 0xCBCBCB
0x000000, 0x000000, 0x433616, 0x985128, 0xBA6F4A, 0xDC7558, 0xFECB00, 0xFEBA10, 0xFE98A9, 0xFE3200, 0xFE0000, 0xFE5454, 0x32031E, 0x980000, 0xDC0E0E, 0xFEFEFE
0x000000, 0x000000, 0x000000, 0x000000, 0x985B65, 0xA96570, 0x140014, 0x430036, 0x51003C, 0x484848, 0x797998, 0x430D0D, 0x542D32, 0x763F17, 0xBA6F31, 0x980A0A
0x000000, 0x000000, 0xFEFEFE, 0x000000, 0x985B65, 0xCB7987, 0x280028, 0x650051, 0x6C0051, 0x484848, 0x8787A9, 0x541010, 0x65363C, 0x763F17, 0xBA6F31, 0xBA0C0C
0x000000, 0x000000, 0xFE0000, 0x000000, 0x985B65, 0xED8E9E, 0x3C003C, 0x87006C, 0x870065, 0x484848, 0x9595BA, 0x651414, 0x763F47, 0x763F17, 0xBA6F31, 0xDC0E0E
0x000000, 0x000000, 0x871B24, 0xA9382D, 0xBA6F4A, 0xBA6F4A, 0xBA884A, 0x653C3C, 0xFE98A9, 0xBA0000, 0xFE3200, 0xFEBA32, 0x651B21, 0x984747, 0x65FEFE, 0xFEFEFE
0x000000, 0x000000, 0x653C14, 0x985128, 0xCB6C28, 0xFE6565, 0xCBA26C, 0x87636C, 0xFE98A9, 0x2154FE, 0x4387FE, 0x87BAFE, 0x000076, 0xDCDCDC, 0x0E0E0E, 0xFEFEFE
0x000000, 0x000000, 0x653C14, 0x985128, 0xDC7558, 0xFE98A9, 0x98845B, 0xCBA26C, 0xFEFE65, 0xDCDCDC, 0xFEFEFE, 0x000000, 0x000000, 0x000000, 0x761F17, 0x000000
0x000000, 0x000000, 0x653C14, 0x985128, 0xDC7558, 0xFE98A9, 0x98845B, 0xCBA26C, 0xFEFE65, 0xDCDCDC, 0xFEFEFE, 0x006506, 0x009800, 0x00CB51, 0x761F17, 0x2D2443
0x000000, 0x000000, 0x0D0602, 0x211005, 0x361B09, 0x36241B, 0x362D24, 0x483F36, 0x030303, 0x000000, 0x0A060D, 0x1B1B24, 0x101016, 0x16161C, 0x1F1F27, 0x24242D
0x240900, 0x000900, 0x090900, 0x1B1212, 0x160900, 0x000000, 0x2D1B09, 0x3F1B09, 0x6C361B, 0x482400, 0x754824, 0x1B1B2D, 0x122436, 0x092D48, 0x12365A, 0x1B3F63
0x000000, 0x000000, 0x000000, 0x000000, 0x100000, 0x540B00, 0x871200, 0x767676, 0x100000, 0x540B05, 0x873F36, 0x875148, 0x877575, 0x878787, 0x000000, 0x000000
0x000000, 0x000000, 0x0D0602, 0x211005, 0x361B09, 0x36241B, 0x362D24, 0x483F36, 0x030303, 0x000000, 0x0A060D, 0x1B1B24, 0x101016, 0x16161C, 0x1F1F27, 0x24242D
0x240900, 0x000900, 0x090900, 0x1B1212, 0x160900, 0x000000, 0x2D1B09, 0x3F1B09, 0x6C361B, 0x482400, 0x754824, 0x1B1B2D, 0x122436, 0x092D48, 0x12365A, 0x1B3F63
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x0D0300, 0x000300, 0x030300, 0x0A0606, 0x000000, 0x000000, 0x100A03, 0x170A03, 0x28140A, 0x1B0D00, 0x2C1B0D, 0x0A0A10, 0x060D14, 0x03101B, 0x061421, 0x0A1725
0x240900, 0x000900, 0x090900, 0x1B1212, 0x160900, 0x000000, 0x2D1B09, 0x3F1B09, 0x6C361B, 0x482400, 0x754824, 0x1B1B2D, 0x122436, 0x092D48, 0x12365A, 0x1B3F63
0x000000, 0x281406, 0x3C1E0A, 0x51280D, 0x653210, 0x654332, 0x655443, 0x877665, 0x1B1B1B, 0x0F0F17, 0x21162D, 0x323243, 0x282836, 0x363643, 0x3F3F4F, 0x434354
0x431000, 0x001000, 0x101000, 0x322121, 0x3E1800, 0x160D04, 0x543210, 0x763210, 0xCB6532, 0x874300, 0xDC8743, 0x323254, 0x214365, 0x105487, 0x2165A9, 0x3276BA
0x000000, 0x000000, 0x433F36, 0x540000, 0x870000, 0xCB1B00, 0xFE2100, 0xEDEDED, 0x870000, 0x870000, 0x870000, 0xCB1B0D, 0xFE7665, 0xFE9887, 0x000000, 0x000000
0x000000, 0x281406, 0x3C1E0A, 0x51280D, 0x653210, 0x654332, 0x655443, 0x877665, 0x101010, 0x0F0F17, 0x21162D, 0x323243, 0x282836, 0x16161C, 0x3F3F4F, 0x434354
0x431000, 0x001000, 0x101000, 0x322121, 0x3E1800, 0x160D04, 0x543210, 0x763210, 0xCB6532, 0x874300, 0xDC8743, 0x323254, 0x214365, 0x105487, 0x2165A9, 0x3276BA
0x1F0700, 0x000700, 0x070700, 0x170F0F, 0x100600, 0x000000, 0x271707, 0x371707, 0x5E2F17, 0x3F1F00, 0x663F1F, 0x171727, 0x0F1F2F, 0x07273F, 0x0F2F4F, 0x173756
0x2D0B00, 0x000B00, 0x0B0B00, 0x211616, 0x210D00, 0x000000, 0x38210B, 0x4F210B, 0x874321, 0x5A2D00, 0x925A2D, 0x212138, 0x162D43, 0x0B385A, 0x164370, 0x214F7C
0x431000, 0x001000, 0x101000, 0x322121, 0x3E1800, 0x160D04, 0x543210, 0x763210, 0xCB6532, 0x874300, 0xDC8743, 0x323254, 0x214365, 0x105487, 0x2165A9, 0x3276BA
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000, 0x000000
